mapping_unit,badge,total_score,degradation_risk,suitability,drainage,ph_range,slope,soil_texture,major_crops,risk_factors
15a,GOLD,90,LOW,Fairly Higly Suitable with few physical limitation,Moderately Drained,6.3 - 8.5,0 - 2%,Sandy Loam,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize",Well-suited for sustainable agriculture
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
18d,GOLD,80,LOW,Moderately Suitable,Moderately Drained,5.5 - 6.3,0 - 2%,Clay Loam,"Sugarcane,Cassava,Yam,Irish Potatoes,Cocoa,Rubber,Groundnut,MilletSorghum,Cowpea,Rice,OilPalm",Well-suited for sustainable agriculture
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
22c,SILVER,48,HIGH,Marginally Suitable,Poorly Drained,5.8 - 7.0,0 - 13%,Sandy Clay,"Yam,Sorghum,Cassava,Groundnut,Maize,Cotton,Cocoa",Waterlogging risk - poor drainage; Shallow soil - limited root depth
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
15a,GOLD,90,LOW,Fairly Higly Suitable with few physical limitation,Moderately Drained,6.3 - 8.5,0 - 2%,Sandy Loam,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize",Well-suited for sustainable agriculture
15c,GOLD,95,LOW,Fairly Higly Suitable with few physical limitation,Moderately Drained,5.9 - 6.3,0 - 2%,Sandy Loam,"Groundnut,Millet,Cotton,Tobacco,Vegetables",Well-suited for sustainable agriculture
15g,GOLD,92,LOW,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,6.3,0 - 2%,Sandy Clay,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Cocoa yam,Cassava",Well-suited for sustainable agriculture
3a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,7.0 - 8.4,0 - 2%,Sandy Loam,"Groundnut,Sorghum,Cotton,Maize,Millet,Cowpea",Waterlogging risk - poor drainage
18d,GOLD,80,LOW,Moderately Suitable,Moderately Drained,5.5 - 6.3,0 - 2%,Clay Loam,"Sugarcane,Cassava,Yam,Irish Potatoes,Cocoa,Rubber,Groundnut,MilletSorghum,Cowpea,Rice,OilPalm",Well-suited for sustainable agriculture
15g,GOLD,92,LOW,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,6.3,0 - 2%,Sandy Clay,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Cocoa yam,Cassava",Well-suited for sustainable agriculture
15g,GOLD,92,LOW,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,6.3,0 - 2%,Sandy Clay,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Cocoa yam,Cassava",Well-suited for sustainable agriculture
2a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,5.9 - 4.9,0 - 2%,Sandy Loam,"Yam, Rice,Maize, Millet,Irish Potatoes",Waterlogging risk - poor drainage
15g,GOLD,92,LOW,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,6.3,0 - 2%,Sandy Clay,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Cocoa yam,Cassava",Well-suited for sustainable agriculture
16b,GOLD,100,LOW,Fairly Higly Suitable with few physical limitation,Well Drained,5.6 - 5.8,0 - 2%,Sandy Loam,"Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize",Well-suited for sustainable agriculture
15g,GOLD,92,LOW,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,6.3,0 - 2%,Sandy Clay,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Cocoa yam,Cassava",Well-suited for sustainable agriculture
16b,GOLD,100,LOW,Fairly Higly Suitable with few physical limitation,Well Drained,5.6 - 5.8,0 - 2%,Sandy Loam,"Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize",Well-suited for sustainable agriculture
18d,GOLD,80,LOW,Moderately Suitable,Moderately Drained,5.5 - 6.3,0 - 2%,Clay Loam,"Sugarcane,Cassava,Yam,Irish Potatoes,Cocoa,Rubber,Groundnut,MilletSorghum,Cowpea,Rice,OilPalm",Well-suited for sustainable agriculture
16b,GOLD,100,LOW,Fairly Higly Suitable with few physical limitation,Well Drained,5.6 - 5.8,0 - 2%,Sandy Loam,"Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize",Well-suited for sustainable agriculture
18d,GOLD,80,LOW,Moderately Suitable,Moderately Drained,5.5 - 6.3,0 - 2%,Clay Loam,"Sugarcane,Cassava,Yam,Irish Potatoes,Cocoa,Rubber,Groundnut,MilletSorghum,Cowpea,Rice,OilPalm",Well-suited for sustainable agriculture
15f,GOLD,73,HIGH,Fairly Higly Suitable with few physical limitation,Poorly Drained,8.5 - 8.7,0 - 2%,Clay Loam,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Yam,Irish Potatoes",Waterlogging risk - poor drainage; pH stress - may need amendment
15g,GOLD,92,LOW,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,6.3,0 - 2%,Sandy Clay,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Cocoa yam,Cassava",Well-suited for sustainable agriculture
18d,GOLD,80,LOW,Moderately Suitable,Moderately Drained,5.5 - 6.3,0 - 2%,Clay Loam,"Sugarcane,Cassava,Yam,Irish Potatoes,Cocoa,Rubber,Groundnut,MilletSorghum,Cowpea,Rice,OilPalm",Well-suited for sustainable agriculture
22c,SILVER,48,HIGH,Marginally Suitable,Poorly Drained,5.8 - 7.0,0 - 13%,Sandy Clay,"Yam,Sorghum,Cassava,Groundnut,Maize,Cotton,Cocoa",Waterlogging risk - poor drainage; Shallow soil - limited root depth
21c,SILVER,69,LOW,Marginally Suitable,Well Drained,5.6 - 5.9,0 - 6%,Sandy Clay,"Yam,Rice,Cass,SugarCan,Millets,Groundnut,Sorghum,Bean,Cowpea,Cotton,Cassava",Well-suited for sustainable agriculture
2a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,5.9 - 4.9,0 - 2%,Sandy Loam,"Yam, Rice,Maize, Millet,Irish Potatoes",Waterlogging risk - poor drainage
18d,GOLD,80,LOW,Moderately Suitable,Moderately Drained,5.5 - 6.3,0 - 2%,Clay Loam,"Sugarcane,Cassava,Yam,Irish Potatoes,Cocoa,Rubber,Groundnut,MilletSorghum,Cowpea,Rice,OilPalm",Well-suited for sustainable agriculture
15g,GOLD,92,LOW,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,6.3,0 - 2%,Sandy Clay,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Cocoa yam,Cassava",Well-suited for sustainable agriculture
22c,SILVER,48,HIGH,Marginally Suitable,Poorly Drained,5.8 - 7.0,0 - 13%,Sandy Clay,"Yam,Sorghum,Cassava,Groundnut,Maize,Cotton,Cocoa",Waterlogging risk - poor drainage; Shallow soil - limited root depth
15g,GOLD,92,LOW,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,6.3,0 - 2%,Sandy Clay,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Cocoa yam,Cassava",Well-suited for sustainable agriculture
22c,SILVER,48,HIGH,Marginally Suitable,Poorly Drained,5.8 - 7.0,0 - 13%,Sandy Clay,"Yam,Sorghum,Cassava,Groundnut,Maize,Cotton,Cocoa",Waterlogging risk - poor drainage; Shallow soil - limited root depth
22c,SILVER,48,HIGH,Marginally Suitable,Poorly Drained,5.8 - 7.0,0 - 13%,Sandy Clay,"Yam,Sorghum,Cassava,Groundnut,Maize,Cotton,Cocoa",Waterlogging risk - poor drainage; Shallow soil - limited root depth
18d,GOLD,80,LOW,Moderately Suitable,Moderately Drained,5.5 - 6.3,0 - 2%,Clay Loam,"Sugarcane,Cassava,Yam,Irish Potatoes,Cocoa,Rubber,Groundnut,MilletSorghum,Cowpea,Rice,OilPalm",Well-suited for sustainable agriculture
21c,SILVER,69,LOW,Marginally Suitable,Well Drained,5.6 - 5.9,0 - 6%,Sandy Clay,"Yam,Rice,Cass,SugarCan,Millets,Groundnut,Sorghum,Bean,Cowpea,Cotton,Cassava",Well-suited for sustainable agriculture
15g,GOLD,92,LOW,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,6.3,0 - 2%,Sandy Clay,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Cocoa yam,Cassava",Well-suited for sustainable agriculture
21c,SILVER,69,LOW,Marginally Suitable,Well Drained,5.6 - 5.9,0 - 6%,Sandy Clay,"Yam,Rice,Cass,SugarCan,Millets,Groundnut,Sorghum,Bean,Cowpea,Cotton,Cassava",Well-suited for sustainable agriculture
2a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,5.9 - 4.9,0 - 2%,Sandy Loam,"Yam, Rice,Maize, Millet,Irish Potatoes",Waterlogging risk - poor drainage
22c,SILVER,48,HIGH,Marginally Suitable,Poorly Drained,5.8 - 7.0,0 - 13%,Sandy Clay,"Yam,Sorghum,Cassava,Groundnut,Maize,Cotton,Cocoa",Waterlogging risk - poor drainage; Shallow soil - limited root depth
15g,GOLD,92,LOW,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,6.3,0 - 2%,Sandy Clay,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Cocoa yam,Cassava",Well-suited for sustainable agriculture
22c,SILVER,48,HIGH,Marginally Suitable,Poorly Drained,5.8 - 7.0,0 - 13%,Sandy Clay,"Yam,Sorghum,Cassava,Groundnut,Maize,Cotton,Cocoa",Waterlogging risk - poor drainage; Shallow soil - limited root depth
15g,GOLD,92,LOW,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,6.3,0 - 2%,Sandy Clay,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Cocoa yam,Cassava",Well-suited for sustainable agriculture
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
18a,GOLD,79,LOW,Moderately Suitable,Well Drained,7.0 - 7.8,0 - 6%,Sandy Loam,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize",Well-suited for sustainable agriculture
2a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,5.9 - 4.9,0 - 2%,Sandy Loam,"Yam, Rice,Maize, Millet,Irish Potatoes",Waterlogging risk - poor drainage
18d,GOLD,80,LOW,Moderately Suitable,Moderately Drained,5.5 - 6.3,0 - 2%,Clay Loam,"Sugarcane,Cassava,Yam,Irish Potatoes,Cocoa,Rubber,Groundnut,MilletSorghum,Cowpea,Rice,OilPalm",Well-suited for sustainable agriculture
18d,GOLD,80,LOW,Moderately Suitable,Moderately Drained,5.5 - 6.3,0 - 2%,Clay Loam,"Sugarcane,Cassava,Yam,Irish Potatoes,Cocoa,Rubber,Groundnut,MilletSorghum,Cowpea,Rice,OilPalm",Well-suited for sustainable agriculture
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
21c,SILVER,69,LOW,Marginally Suitable,Well Drained,5.6 - 5.9,0 - 6%,Sandy Clay,"Yam,Rice,Cass,SugarCan,Millets,Groundnut,Sorghum,Bean,Cowpea,Cotton,Cassava",Well-suited for sustainable agriculture
3a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,7.0 - 8.4,0 - 2%,Sandy Loam,"Groundnut,Sorghum,Cotton,Maize,Millet,Cowpea",Waterlogging risk - poor drainage
15c,GOLD,95,LOW,Fairly Higly Suitable with few physical limitation,Moderately Drained,5.9 - 6.3,0 - 2%,Sandy Loam,"Groundnut,Millet,Cotton,Tobacco,Vegetables",Well-suited for sustainable agriculture
15a,GOLD,90,LOW,Fairly Higly Suitable with few physical limitation,Moderately Drained,6.3 - 8.5,0 - 2%,Sandy Loam,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize",Well-suited for sustainable agriculture
15g,GOLD,92,LOW,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,6.3,0 - 2%,Sandy Clay,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Cocoa yam,Cassava",Well-suited for sustainable agriculture
3a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,7.0 - 8.4,0 - 2%,Sandy Loam,"Groundnut,Sorghum,Cotton,Maize,Millet,Cowpea",Waterlogging risk - poor drainage
15c,GOLD,95,LOW,Fairly Higly Suitable with few physical limitation,Moderately Drained,5.9 - 6.3,0 - 2%,Sandy Loam,"Groundnut,Millet,Cotton,Tobacco,Vegetables",Well-suited for sustainable agriculture
15c,GOLD,95,LOW,Fairly Higly Suitable with few physical limitation,Moderately Drained,5.9 - 6.3,0 - 2%,Sandy Loam,"Groundnut,Millet,Cotton,Tobacco,Vegetables",Well-suited for sustainable agriculture
3a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,7.0 - 8.4,0 - 2%,Sandy Loam,"Groundnut,Sorghum,Cotton,Maize,Millet,Cowpea",Waterlogging risk - poor drainage
3a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,7.0 - 8.4,0 - 2%,Sandy Loam,"Groundnut,Sorghum,Cotton,Maize,Millet,Cowpea",Waterlogging risk - poor drainage
15c,GOLD,95,LOW,Fairly Higly Suitable with few physical limitation,Moderately Drained,5.9 - 6.3,0 - 2%,Sandy Loam,"Groundnut,Millet,Cotton,Tobacco,Vegetables",Well-suited for sustainable agriculture
3a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,7.0 - 8.4,0 - 2%,Sandy Loam,"Groundnut,Sorghum,Cotton,Maize,Millet,Cowpea",Waterlogging risk - poor drainage
15c,GOLD,95,LOW,Fairly Higly Suitable with few physical limitation,Moderately Drained,5.9 - 6.3,0 - 2%,Sandy Loam,"Groundnut,Millet,Cotton,Tobacco,Vegetables",Well-suited for sustainable agriculture
2a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,5.9 - 4.9,0 - 2%,Sandy Loam,"Yam, Rice,Maize, Millet,Irish Potatoes",Waterlogging risk - poor drainage
4a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,7.0 - 8.4,0 - 2%,Sandy Loam,"Groundnut,Sorghum,Cotton,Maize,Millet,Cowpea",Waterlogging risk - poor drainage
15a,GOLD,90,LOW,Fairly Higly Suitable with few physical limitation,Moderately Drained,6.3 - 8.5,0 - 2%,Sandy Loam,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize",Well-suited for sustainable agriculture
18a,GOLD,79,LOW,Moderately Suitable,Well Drained,7.0 - 7.8,0 - 6%,Sandy Loam,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize",Well-suited for sustainable agriculture
15g,GOLD,92,LOW,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,6.3,0 - 2%,Sandy Clay,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Cocoa yam,Cassava",Well-suited for sustainable agriculture
18a,GOLD,79,LOW,Moderately Suitable,Well Drained,7.0 - 7.8,0 - 6%,Sandy Loam,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize",Well-suited for sustainable agriculture
24a,BRONZE,39,MEDIUM,Currently Not Suitable,Imperfectly Drained,5.1 - 5.6,13 - 55%,Concretionary Clay,"Yam,Rice,Cassava,OilPalm,Plantain,Vegetables",High erosion risk due to steep slope
18d,GOLD,80,LOW,Moderately Suitable,Moderately Drained,5.5 - 6.3,0 - 2%,Clay Loam,"Sugarcane,Cassava,Yam,Irish Potatoes,Cocoa,Rubber,Groundnut,MilletSorghum,Cowpea,Rice,OilPalm",Well-suited for sustainable agriculture
24a,BRONZE,39,MEDIUM,Currently Not Suitable,Imperfectly Drained,5.1 - 5.6,13 - 55%,Concretionary Clay,"Yam,Rice,Cassava,OilPalm,Plantain,Vegetables",High erosion risk due to steep slope
24a,BRONZE,39,MEDIUM,Currently Not Suitable,Imperfectly Drained,5.1 - 5.6,13 - 55%,Concretionary Clay,"Yam,Rice,Cassava,OilPalm,Plantain,Vegetables",High erosion risk due to steep slope
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
2b,GOLD,80,LOW,Moderately Suitable,Well Drained,6.5 - 7.8,0 - 2%,Loamy Fine Sand,"Sorghum,Millet,Cowpea,Cotton,Maize,Yam,Vegetables,Rice",Well-suited for sustainable agriculture
19a,SILVER,64,MEDIUM,Moderately Suitable,Moderately Drained,8.5 - 9.1,0 - 6%,Sandy Clay,"Cassava,Yam,Rice,Maize.Cocoa,Oil palm,Millet,Sorghum, Cowpea,Cotton,Groundnut",pH stress - may need amendment
18a,GOLD,79,LOW,Moderately Suitable,Well Drained,7.0 - 7.8,0 - 6%,Sandy Loam,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize",Well-suited for sustainable agriculture
24a,BRONZE,39,MEDIUM,Currently Not Suitable,Imperfectly Drained,5.1 - 5.6,13 - 55%,Concretionary Clay,"Yam,Rice,Cassava,OilPalm,Plantain,Vegetables",High erosion risk due to steep slope
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
19a,SILVER,69,MEDIUM,Moderately Suitable,Well Drained,8.5 - 9.1,0 - 6%,Sandy Clay,"Cassava,Yam,Rice,Maize.Cocoa,Oil palm,Millet,Sorghum, Cowpea,Cotton,Groundnut",pH stress - may need amendment
15d,GOLD,87,MEDIUM,Fairly Higly Suitable with few physical limitation,Poorly Drained,6.6 - 7.3,0 - 6%,Sandy Clay,"Vegetables,Sorghum,Yam,Maize,Rice,Cow Pea, Millet,Cotton,  Banana",Waterlogging risk - poor drainage
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
21b,SILVER,69,LOW,Marginally Suitable,Well Drained,4.9 - 6.5,0 - 6%,Sandy Loam,"Sorghum,Cowpea,Millet,Cottom, Maize.",Well-suited for sustainable agriculture
19a,SILVER,57,HIGH,Moderately Suitable,Poorly Drained,8.5 - 9.1,0 - 6%,Sandy Clay,"Cassava,Yam,Rice,Maize.Cocoa,Oil palm,Millet,Sorghum, Cowpea,Cotton,Groundnut",Waterlogging risk - poor drainage; pH stress - may need amendment
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
15a,GOLD,90,LOW,Fairly Higly Suitable with few physical limitation,Moderately Drained,6.3 - 8.5,0 - 2%,Sandy Loam,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize",Well-suited for sustainable agriculture
15g,GOLD,92,LOW,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,6.3,0 - 2%,Sandy Clay,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize,Cocoa yam,Cassava",Well-suited for sustainable agriculture
24a,BRONZE,39,MEDIUM,Currently Not Suitable,Imperfectly Drained,5.1 - 5.6,13 - 55%,Concretionary Clay,"Yam,Rice,Cassava,OilPalm,Plantain,Vegetables",High erosion risk due to steep slope
18d,GOLD,80,LOW,Moderately Suitable,Moderately Drained,5.5 - 6.3,0 - 2%,Clay Loam,"Sugarcane,Cassava,Yam,Irish Potatoes,Cocoa,Rubber,Groundnut,MilletSorghum,Cowpea,Rice,OilPalm",Well-suited for sustainable agriculture
